distance,BB8401,E9101,BB8402,E9102
1,126.844,111.05,110.676,126.806
2,126.76,111.087,111.217,127.126
3,127.172,110.91,110.982,126.221
4,127.348,110.533,110.777,127.226
5,127.049,111.239,110.925,126.636
6,126.835,110.696,110.901,126.711
7,126.941,110.568,110.963,126.833
8,126.888,110.865,110.617,126.885
9,126.694,111.095,111.088,126.965
10,127.214,111.048,110.693,126.808
11,127.075,110.586,110.722,126.97
12,126.771,110.735,110.479,127.079
13,126.773,110.603,110.323,126.674
14,126.924,110.637,110.673,127.336
15,126.877,110.375,110.191,126.894
16,126.702,110.574,110.289,127.006
17,127.038,110.583,110.458,126.744
18,126.499,110.477,110.004,126.74
19,126.826,110.354,109.837,127.314
20,126.571,110.553,109.893,127.033
21,126.651,110.242,110.189,126.772
22,126.556,110.272,109.818,126.742
23,126.576,110.082,109.4,126.582
24,126.762,109.992,109.335,126.793
25,126.922,109.921,109.659,126.49
26,126.899,109.996,109.315,127.092
27,126.951,109.931,109.407,127.042
28,126.773,109.771,109.25,126.474
29,126.984,109.929,109.276,127.085
30,126.521,109.605,109.09,126.626
31,126.816,109.599,108.564,126.718
32,126.99,109.353,108.443,126.634
33,126.616,109.355,108.379,126.312
34,126.641,108.996,108.022,126.628
35,126.656,109.356,108.142,126.865
36,126.459,109.087,108.021,126.464
37,126.477,108.831,107.705,126.803
38,126.663,108.772,107.412,126.422
39,126.734,108.447,107.107,126.592
40,126.556,108.937,106.891,126.482
41,126.248,108.756,106.855,126.289
42,126.663,108.234,106.514,126.464
43,126.731,108.033,105.857,126.607
44,126.554,107.865,106.025,126.656
45,126.63,107.846,105.472,126.011
46,126.441,107.398,105.346,126.565
47,126.429,107.239,104.721,126.118
48,126.462,107.139,104.676,126.03
49,126.662,107.359,103.991,125.996
50,126.646,107.0,103.809,126.148
51,126.692,106.533,103.211,126.082
52,126.585,106.636,102.726,125.811
53,126.333,106.205,102.547,125.824
54,126.55,106.158,101.836,125.772
55,126.129,105.729,101.118,126.046
56,126.88,105.553,100.835,125.864
57,126.003,105.165,100.051,125.606
58,126.216,104.928,99.146,125.843
59,126.408,104.495,98.745,125.619
60,125.921,104.184,98.26,125.415
61,126.35,103.855,97.585,125.559
62,126.438,103.626,96.694,125.585
63,126.526,103.434,96.124,125.083
64,125.841,102.906,95.21,125.452
65,126.236,102.625,94.345,125.228
66,125.938,102.306,93.83,124.873
67,125.86,101.909,92.429,124.748
68,126.027,101.188,91.571,124.462
69,125.895,101.128,90.886,124.505
70,125.628,100.837,89.905,124.769
71,125.739,100.137,88.878,124.179
72,125.751,100.238,87.89,123.708
73,125.985,99.171,86.878,123.724
74,125.465,98.801,85.366,123.774
75,125.521,98.352,84.346,123.589
76,125.473,97.632,83.239,123.57
77,125.281,96.936,81.85,123.579
78,125.452,96.741,80.81,122.881
79,125.421,96.18,79.381,122.396
80,125.213,95.094,78.152,122.24
81,125.255,94.628,76.888,122.155
82,124.887,93.827,75.186,122.447
83,124.92,93.143,74.101,121.585
84,124.938,92.412,72.282,121.209
85,124.857,91.518,70.79,121.006
86,124.772,91.138,69.319,120.524
87,124.364,90.11,68.2,120.226
88,124.814,89.58,66.291,119.846
89,124.482,88.501,64.742,119.141
90,123.834,87.537,63.239,118.605
91,124.037,87.048,62.04,118.111
92,124.214,85.984,59.849,117.843
93,123.623,85.27,58.67,117.448
94,123.68,84.159,57.057,116.536
95,123.594,83.338,55.285,116.038
96,123.377,82.129,54.231,115.534
97,122.778,81.238,52.251,114.78
98,122.975,80.171,50.642,114.106
99,122.502,79.0,49.377,113.257
100,122.34,77.648,47.955,112.321
101,121.979,77.105,46.206,111.581
102,121.99,75.9,44.677,110.965
103,121.488,74.788,43.14,109.297
104,121.29,74.131,41.571,108.597
105,121.094,72.702,40.003,107.784
106,120.762,71.179,38.62,106.484
107,120.835,70.13,37.509,105.385
108,120.545,68.519,35.989,104.066
109,120.133,67.862,34.613,102.588
110,119.67,66.538,33.269,101.34
111,119.254,65.594,32.069,99.498
112,119.275,64.144,30.781,97.893
113,118.769,62.846,29.475,96.424
114,118.256,61.575,28.07,94.327
115,117.651,60.225,27.338,92.445
116,117.567,58.973,25.942,90.373
117,116.8,57.498,24.83,88.248
118,116.358,56.669,23.958,86.144
119,116.023,55.707,23.012,84.275
