distance,BB84,E91
1,185.24,153.9
2,183.56,152.38
3,180.92,151.16
4,182.54,149.06
5,175.9,147.48
6,177.38,145.02
7,176.34,145.74
8,174.16,141.56
9,172.52,141.3
10,174.12,140.36
11,172.78,139.84
12,169.54,134.96
13,168.78,134.52
14,167.9,135.62
15,168.44,130.84
16,164.44,130.58
17,165.22,131.84
18,162.1,127.3
19,160.64,128.44
20,160.7,126.82
21,160.18,125.3
22,158.32,122.08
23,155.98,120.06
24,156.12,117.04
25,155.98,118.5
26,153.0,117.26
27,150.58,114.78
28,152.24,113.76
29,149.82,113.16
30,147.0,110.18
31,148.6,109.24
32,147.58,107.94
33,143.5,107.88
34,145.34,103.58
35,143.34,103.1
36,142.08,102.22
37,143.42,100.84
38,138.44,100.92
39,138.84,96.94
40,135.84,94.38
41,135.86,93.02
42,133.94,91.88
43,135.06,92.02
44,133.86,92.36
45,130.78,89.1
46,130.66,87.24
47,129.5,85.04
48,127.84,86.6
49,126.7,83.26
50,124.6,82.52
51,124.78,79.98
52,122.7,79.2
53,119.76,77.04
54,121.72,75.54
55,119.22,74.64
56,117.52,74.64
57,115.68,71.36
58,116.7,70.2
59,114.38,68.24
60,111.44,68.88
61,112.1,65.18
62,111.4,63.96
63,108.34,62.66
64,108.52,61.78
65,105.08,61.92
66,106.22,58.64
67,103.52,57.18
68,104.56,55.78
69,101.7,54.58
70,100.52,51.52
71,97.64,51.54
72,98.96,50.6
73,98.42,48.38
74,97.74,47.86
75,96.02,45.86
76,92.54,45.08
77,92.62,41.64
78,94.12,41.62
79,89.38,40.46
80,89.74,36.22
81,86.62,36.66
82,85.54,35.0
83,84.92,32.62
84,85.2,31.9
85,82.94,29.8
86,82.48,29.0
87,80.9,27.7
88,79.44,25.82
89,77.3,24.8
90,76.02,23.68
91,76.44,21.9
92,73.62,20.5
93,71.02,19.6
94,72.4,18.3
95,70.58,16.24
96,70.02,14.72
97,68.58,13.86
98,69.5,11.94
99,66.58,10.58
100,64.26,9.08
101,65.12,8.28
102,64.72,7.96
103,61.16,8.22
104,65.0,7.7
105,65.36,8.06
106,64.52,8.56
107,65.84,8.44
108,64.74,8.52
109,63.92,7.9
110,64.32,7.58
111,63.32,8.2
112,64.8,7.86
113,64.1,7.9
114,63.94,7.74
115,64.9,8.26
116,63.24,8.76
117,64.18,7.96
118,64.42,7.72
119,64.88,7.82
120,64.14,8.28
121,62.9,8.74
122,64.5,8.62
123,62.96,8.6
124,67.02,8.32
125,66.12,8.48
126,64.14,8.52
127,65.82,8.44
128,64.34,7.92
129,63.54,8.16
130,64.6,7.8
131,64.6,8.6
132,63.0,8.12
133,65.34,8.48
134,63.46,7.64
135,63.68,8.08
136,63.88,7.78
137,66.5,8.04
138,65.6,8.3
139,63.36,8.18
140,64.38,8.56
141,64.5,8.22
142,64.7,8.38
143,62.94,8.16
144,65.72,8.76
145,61.84,8.06
146,65.68,8.26
147,65.96,8.72
148,63.7,8.48
149,64.42,8.5
150,64.78,8.6
151,64.92,8.12
152,64.12,8.98
153,64.72,7.56
154,63.94,9.14
155,64.42,7.78
156,63.72,8.58
157,66.08,8.16
158,63.12,8.52
159,64.66,7.68
160,63.84,7.76
161,64.3,8.26
162,63.8,8.0
163,62.6,8.34
164,62.14,7.9
165,65.56,8.3
166,64.3,8.16
167,63.34,8.04
168,62.98,8.4
169,64.36,8.72
170,64.78,8.42
171,63.92,8.08
172,63.2,7.84
173,63.88,8.36
174,64.64,8.38
175,65.7,8.74
176,63.36,8.68
177,64.68,8.36
178,65.16,8.76
179,62.8,9.06
180,63.86,9.3
181,65.58,8.62
182,65.46,9.16
183,63.02,8.54
184,63.62,7.9
185,64.58,8.9
186,65.16,8.42
187,65.86,8.72
188,65.32,8.4
189,65.16,8.14
190,64.66,7.92
191,65.04,8.4
192,64.24,8.14
193,62.98,8.16
194,63.32,7.86
195,65.06,8.82
196,65.3,7.24
197,65.14,8.3
198,64.5,8.04
199,66.58,8.34
200,61.84,8.42
201,63.86,8.36
202,64.36,8.42
203,64.34,9.26
204,63.28,8.38
205,64.82,8.48
206,63.66,8.82
207,65.4,8.2
208,64.68,8.4
209,66.14,8.34
210,63.0,7.98
211,63.06,7.86
212,64.02,7.92
213,64.7,8.84
214,63.96,8.44
215,63.36,7.8
216,64.78,7.9
217,64.64,8.5
218,63.78,8.22
219,63.06,8.16
220,64.08,9.0
221,63.24,8.26
222,65.14,8.7
223,65.92,8.88
224,64.56,8.58
225,61.74,8.38
226,64.28,8.3
227,64.72,8.22
228,63.68,7.86
229,65.14,7.74
230,66.0,8.86
231,65.14,8.1
232,65.6,7.68
233,62.46,8.08
234,63.32,7.92
235,64.26,8.2
236,63.84,8.44
237,62.14,8.0
238,62.54,8.44
