distance,BB84,E91
1,369.38,306.1
2,366.6,302.9
3,363.42,298.18
4,362.24,299.86
5,359.92,294.44
6,360.22,293.66
7,354.84,289.6
8,350.64,287.14
9,347.38,284.56
10,348.32,280.68
11,341.94,277.78
12,341.92,274.6
13,336.9,272.12
14,336.08,266.66
15,331.94,264.14
16,331.6,260.24
17,332.2,261.34
18,327.04,256.84
19,323.0,252.86
20,321.12,251.5
21,317.6,246.8
22,316.2,242.74
23,314.26,243.12
24,313.82,238.88
25,312.7,236.24
26,310.76,233.32
27,303.68,233.0
28,303.88,228.32
29,301.48,224.1
30,301.98,221.52
31,297.84,221.62
32,295.56,216.3
33,293.44,213.44
34,286.86,208.76
35,283.76,206.24
36,286.84,204.76
37,284.8,202.82
38,278.18,198.5
39,276.56,197.36
40,273.78,194.42
41,272.92,187.44
42,273.18,184.74
43,269.26,187.4
44,263.04,181.3
45,262.04,178.36
46,258.7,176.96
47,257.62,174.04
48,251.12,167.78
49,251.86,168.62
50,247.92,165.44
51,249.42,162.44
52,243.32,160.22
53,243.04,155.24
54,240.84,150.94
55,235.72,150.84
56,234.08,143.44
57,229.98,142.98
58,228.1,140.66
59,224.54,140.0
60,223.36,134.78
61,222.52,131.52
62,220.18,128.96
63,216.56,127.24
64,216.74,125.88
65,213.2,120.9
66,211.62,118.22
67,204.44,114.64
68,205.68,110.26
69,198.74,106.56
70,202.32,105.22
71,200.52,101.74
72,201.14,99.74
73,196.96,97.88
74,194.38,93.16
75,190.78,89.94
76,186.22,89.86
77,185.04,86.4
78,184.9,85.2
79,178.56,79.02
80,178.72,77.86
81,175.42,73.72
82,174.0,69.5
83,169.6,69.3
84,168.88,66.22
85,167.34,61.88
86,164.4,58.68
87,158.88,56.36
88,156.28,55.46
89,155.84,49.24
90,156.0,48.24
91,151.3,42.82
92,150.82,41.94
93,144.88,39.7
94,146.66,36.56
95,140.7,33.4
96,138.62,29.94
97,134.66,27.24
98,131.98,24.9
99,129.8,22.2
100,125.78,17.44
101,127.68,17.54
102,127.86,17.76
103,127.5,17.64
104,130.72,17.0
105,128.36,16.32
106,127.64,16.86
107,128.48,17.58
108,128.3,17.42
109,128.24,17.7
110,128.58,16.18
111,126.32,17.2
112,128.22,16.46
113,127.86,16.72
114,127.98,17.16
115,127.4,15.6
116,125.9,16.06
117,128.5,16.22
118,127.18,16.8
119,129.78,18.56
120,128.9,17.44
121,126.3,17.32
122,126.14,16.7
123,126.44,16.86
124,126.76,17.26
125,127.72,17.5
126,128.46,16.5
127,128.04,16.56
128,127.82,16.34
129,127.64,17.86
130,127.44,16.24
131,128.48,17.28
132,129.26,17.1
133,125.94,16.08
134,128.26,17.34
135,124.76,17.7
136,129.26,17.74
137,129.96,16.18
138,125.14,18.02
139,127.64,17.38
140,127.46,16.96
141,128.72,16.92
142,126.68,16.32
143,127.48,16.64
144,128.6,16.94
145,127.1,17.12
146,128.1,17.54
147,128.86,17.34
148,125.24,17.3
149,130.7,16.24
150,129.28,16.82
151,128.04,15.66
152,127.6,16.42
153,128.72,16.36
154,128.72,16.92
155,128.58,17.06
156,128.46,16.84
157,127.26,16.78
158,128.56,15.66
159,127.86,17.28
160,124.02,17.18
161,128.2,15.92
162,128.98,15.98
163,126.48,17.56
164,129.06,16.74
165,130.8,17.3
166,129.02,15.78
167,130.36,16.16
168,131.2,17.84
169,125.4,16.92
170,127.68,15.92
171,128.5,17.36
172,127.26,15.22
173,128.24,16.26
174,130.6,17.26
175,126.42,15.86
176,126.74,16.84
177,125.42,16.82
178,130.66,16.04
179,128.4,16.78
180,127.46,16.92
181,127.28,16.94
182,126.76,17.92
183,128.06,17.0
184,127.12,16.92
185,128.44,16.84
186,129.16,17.06
187,128.46,16.52
188,126.9,16.7
189,129.84,17.22
190,124.52,16.5
191,129.0,16.86
192,126.76,16.7
193,127.52,17.68
194,127.14,16.98
195,128.0,16.54
196,128.76,17.08
197,126.32,15.7
198,128.44,15.96
199,125.28,16.8
200,129.34,17.22
201,126.72,16.16
202,127.88,16.26
203,127.52,16.46
204,127.88,15.98
205,128.26,16.1
206,129.18,15.64
207,128.34,16.88
208,127.28,16.36
209,129.86,17.5
210,128.1,17.24
211,126.84,17.08
212,128.76,16.68
213,128.36,15.94
214,128.2,16.84
215,126.5,16.7
216,127.18,16.64
217,126.52,17.34
218,127.1,16.38
219,129.12,16.6
220,127.58,16.18
221,128.02,16.68
222,129.82,16.58
223,128.62,15.9
224,126.8,16.54
225,128.32,16.3
226,126.84,16.74
227,126.52,17.72
228,129.62,16.54
229,128.66,17.1
230,126.76,17.2
231,126.28,15.8
232,126.24,17.24
233,129.14,16.84
234,129.8,16.8
235,128.64,15.72
236,127.62,16.6
237,128.04,16.84
238,126.84,16.92
239,128.9,17.2
240,130.2,16.26
241,126.24,16.34
242,126.8,16.1
243,124.4,16.64
244,129.14,16.32
245,126.92,16.3
246,126.44,16.34
247,127.96,16.72
248,125.6,16.74
249,124.54,16.1
250,128.12,16.2
251,126.34,15.98
252,124.84,16.02
253,127.7,17.66
254,126.86,15.9
255,127.74,16.58
256,128.5,17.74
257,129.58,16.26
258,128.14,16.62
259,128.1,17.1
260,126.28,16.86
261,128.28,17.52
262,126.14,15.92
263,125.34,17.16
264,126.62,15.36
265,126.4,17.32
266,127.68,17.1
267,127.6,16.82
268,125.58,15.78
269,132.18,16.44
270,129.14,16.26
271,128.6,16.46
272,126.6,16.5
273,128.72,16.7
274,126.92,17.02
275,128.22,16.4
276,126.56,16.48
277,128.92,16.6
278,128.2,16.56
279,126.38,16.88
280,129.7,16.04
281,129.52,17.16
282,128.4,16.76
283,130.18,16.34
284,130.22,17.2
285,131.3,16.26
286,126.72,16.38
287,131.0,17.06
288,128.36,16.4
289,129.2,17.52
290,128.52,16.1
291,129.58,15.84
292,129.94,16.7
293,125.72,16.76
294,126.48,16.3
295,127.9,17.68
296,129.24,16.62
297,127.38,16.34
298,127.96,15.54
299,126.46,17.16
300,127.9,16.54
