distance,BB8401,E9101,BB8402,E9102
1,1.0559600586242393,2.824039133220797,2.5889342965385094,1.031375737122718
2,1.0303104912085348,2.5552917631831122,2.695666869155461,1.0582453591454655
3,1.0140590747552143,2.663725838342725,2.856141253471053,1.029170313334941
4,1.043217208132334,2.745643726456981,2.7212132373558098,1.0221647110686427
5,1.0813221077174893,2.7967527957303004,2.691009894015868,1.0873284718563219
6,1.0285692114931553,2.699565429279357,2.94931539208532,1.031752049627152
7,1.1068292106405297,2.8065965968570477,2.9845440150523337,1.1786923286364688
8,1.0644630872457779,2.895759087290791,2.893093235264343,1.086511977806838
9,1.0530271694304731,2.8705783767981026,2.9243259776907053,1.079917696309673
10,1.0271342806846622,2.7985864507065084,2.9307583526924668,1.0479448447016775
11,1.0621390331360923,2.9114195776017304,2.9679371706201874,1.0576256981773766
12,1.0300396576491717,2.8772657081759965,3.0472730456822297,1.0443003506315938
13,1.0128609380051825,2.9211214453903085,3.145900669245613,1.1238436688590545
14,1.0727926458524824,2.959708947303179,3.0975813933132446,1.0535076128139849
15,1.0801179733345039,2.991007171267291,3.0833390449775577,1.055413324482119
16,1.072381611625874,3.000683346678455,3.40739961242935,1.0689821444444954
17,1.1020122889040003,3.1083258508534573,3.2992648681354124,1.0830789192117776
18,1.0731949484669465,3.128627487953975,3.3661982596150195,1.1141693919153115
19,1.0274986840442075,3.380254826115708,3.550287175311521,1.0455366581881442
20,1.0462610066078846,3.3035752002545085,3.525841702012567,1.1490246312144556
21,1.1232067681642686,3.2721153815839945,3.4169636631112046,1.046383373909539
22,1.120093497158523,3.4317992847592147,3.745555006528603,1.1249024195600064
23,1.1153472223233847,3.52681602866823,3.703900878130818,1.1666259227941216
24,1.144196887972514,3.5596129650621533,3.777687613328073,1.1694384968787834
25,1.074092065131298,3.5049068170924693,3.8975932660331143,1.106563440977779
26,1.134611732760831,3.690962398994758,3.9716166748643307,1.1972121585629816
27,1.1103114519938537,3.646257920880502,4.187595353849453,1.1302588056783853
28,1.115520643561506,3.673652549100417,4.304930829226991,1.16227945846937
29,1.181195858043613,3.7244256755634844,4.377877333295453,1.2020914243420404
30,1.1361925920185796,3.7844763336933966,4.698940577048158,1.2143336199626664
31,1.1052877628395406,3.9001038481558243,4.589356861094976,1.17934267615315
32,1.1269784008370887,4.19806222616072,4.851941256180365,1.1721196346112268
33,1.1820218431667642,4.072131316521673,5.217637938604113,1.3107467441091412
34,1.1601784533103776,4.258720657673153,5.10564980225369,1.2824242544892233
35,1.1176053502328103,4.298963012450623,5.187767603988526,1.2588030747246535
36,1.150184433748154,4.374494728903783,5.435340015029831,1.3260835339860788
37,1.170457885966003,4.597439615050916,5.634134620471428,1.2894790709833017
38,1.2127858059993932,4.432757502028325,5.778817231346907,1.3637919004445918
39,1.1717012804856652,4.896351856175921,6.060376141303688,1.2888720816131025
40,1.1438225344919928,4.89422298670674,6.1313455804607155,1.357681581500971
41,1.1677101972093713,5.058668202496675,6.558932546455249,1.37841199747666
42,1.2128619520829034,5.04204043363713,6.700191288016518,1.4142461031162583
43,1.2292670103665557,5.143870188578109,7.045586106004532,1.4340646880062384
