distance,BB84,E91
1,1018.86,678.82
2,1025.48,680.38
3,1022.98,679.7
4,1024.44,688.44
5,1021.98,683.88
6,1029.6,682.42
7,1023.2,682.96
8,1021.34,685.6
9,1021.88,683.98
10,1026.98,683.58
11,1023.68,688.36
12,1013.84,684.4
13,1019.02,683.58
14,1019.46,680.18
15,1018.26,678.34
16,1021.0,682.76
17,1020.78,679.3
18,1020.12,685.2
19,1024.62,682.64
20,1024.22,683.22
21,1020.92,686.18
22,1023.24,677.82
23,1022.0,683.08
24,1024.06,680.96
25,1025.0,683.56
26,1026.68,676.8
27,1028.76,685.48
28,1023.8,684.28
29,1019.36,680.88
30,1021.18,682.08
31,1019.88,685.5
32,1024.86,681.9
33,1024.66,680.94
34,1025.82,679.36
35,1023.54,682.6
36,1029.02,684.36
37,1025.46,682.44
38,1022.38,684.92
39,1027.62,687.54
40,1025.26,686.0
41,1024.32,677.36
42,1027.42,681.46
43,1024.64,679.28
44,1022.7,678.76
45,1027.36,683.14
46,1022.56,683.46
47,1024.24,683.2
48,1021.62,682.76
49,1023.28,682.86
50,1022.12,687.34
51,1026.32,680.3
52,1026.4,682.64
53,1030.7,679.9
54,1027.88,683.84
55,1019.4,683.36
56,1021.34,679.06
57,1021.74,680.98
58,1023.72,684.16
59,1023.24,681.74
60,1020.58,681.88
61,1022.68,677.2
62,1020.02,685.36
63,1020.76,683.84
64,1025.58,687.52
65,1018.68,677.82
66,1023.68,684.08
67,1019.54,680.4
68,1022.48,684.36
69,1020.7,679.32
70,1027.82,678.42
71,1022.1,678.6
72,1031.92,684.6
73,1022.8,684.52
74,1016.76,677.44
75,1027.04,683.14
76,1021.88,686.38
77,1018.14,682.5
78,1024.38,687.24
79,1020.88,681.66
80,1025.24,689.08
81,1024.1,678.94
82,1022.06,683.92
83,1024.48,690.52
84,1022.6,683.02
85,1026.36,681.22
86,1027.48,684.22
87,1026.02,682.04
88,1026.22,678.24
89,1024.9,687.32
90,1025.92,683.64
91,1030.82,682.62
92,1026.26,689.1
93,1027.32,689.36
94,1026.12,686.22
95,1017.54,678.32
96,1026.36,683.14
97,1023.98,678.94
98,1017.46,687.64
99,1027.46,678.96
100,1022.16,682.82
101,1022.66,683.52
102,1021.98,682.32
103,1022.08,681.14
104,1021.18,686.74
105,1013.86,685.96
106,1025.32,686.58
107,1023.08,681.46
108,1021.34,682.5
109,1024.64,678.58
110,1025.42,686.66
111,1025.0,682.24
112,1024.3,683.14
113,1023.48,684.12
114,1025.08,681.16
115,1024.04,679.08
116,1027.28,683.12
117,1022.74,681.44
118,1019.28,674.3
119,1025.28,691.34
120,1027.16,681.56
121,1022.08,683.96
122,1019.36,684.46
123,1023.74,682.56
124,1024.66,684.82
125,1019.06,683.24
126,1021.68,688.24
127,1018.14,681.68
128,1025.72,685.92
129,1025.28,681.2
130,1028.08,683.22
131,1025.18,682.68
