distance,BB84,E91
1,2044.46,1363.8
2,2051.04,1369.32
3,2049.46,1369.12
4,2061.94,1358.82
5,2042.86,1363.08
6,2045.74,1363.72
7,2048.72,1362.22
8,2052.0,1363.5
9,2054.08,1361.46
10,2048.76,1361.66
11,2046.72,1373.44
12,2040.9,1374.16
13,2046.66,1373.52
14,2047.68,1358.68
15,2038.34,1360.36
16,2045.78,1357.74
17,2046.14,1361.74
18,2050.54,1371.34
19,2045.9,1369.28
20,2043.56,1361.5
21,2045.9,1362.74
22,2048.36,1371.14
23,2049.44,1363.52
24,2044.72,1376.02
25,2046.02,1367.28
26,2060.6,1371.42
27,2045.64,1369.6
28,2046.38,1359.12
29,2039.12,1371.36
30,2046.88,1365.76
31,2052.8,1373.94
32,2051.48,1366.82
33,2055.02,1371.44
34,2053.88,1362.08
35,2043.26,1363.46
36,2034.28,1364.82
37,2047.68,1363.92
38,2043.5,1368.86
39,2053.22,1369.78
40,2054.7,1369.76
41,2042.52,1357.98
42,2044.42,1362.8
43,2043.74,1359.54
44,2043.22,1363.48
45,2049.0,1367.44
46,2054.7,1361.66
47,2047.9,1365.72
48,2054.86,1361.78
49,2044.96,1364.06
50,2039.18,1363.98
51,2051.26,1361.0
52,2052.32,1364.48
53,2041.46,1365.3
54,2054.26,1368.1
55,2050.9,1359.2
56,2047.48,1361.22
57,2042.14,1368.96
58,2051.58,1372.4
59,2051.96,1369.82
60,2048.98,1366.6
61,2044.38,1362.58
62,2048.02,1369.72
63,2052.0,1359.86
64,2047.42,1363.18
65,2045.34,1365.38
66,2050.12,1367.6
67,2036.56,1367.92
68,2048.22,1372.54
69,2044.52,1361.14
70,2043.56,1364.44
71,2049.62,1358.22
72,2049.3,1366.28
73,2050.16,1367.18
74,2046.86,1365.58
75,2050.94,1364.18
76,2056.0,1362.58
77,2043.08,1370.18
78,2051.1,1366.78
79,2046.68,1367.38
80,2050.56,1359.76
81,2043.0,1365.92
82,2040.42,1366.0
83,2048.72,1355.88
84,2052.74,1366.8
85,2046.68,1353.36
86,2049.96,1367.48
87,2045.06,1370.96
88,2047.12,1367.72
89,2047.34,1365.2
90,2044.94,1367.98
91,2042.28,1372.84
92,2037.74,1367.56
93,2045.96,1372.38
94,2055.2,1359.42
95,2052.6,1365.88
96,2043.68,1368.66
97,2049.72,1367.22
98,2056.34,1366.36
99,2052.02,1368.94
100,2047.94,1368.52
101,2047.74,1360.0
102,2048.3,1362.5
103,2053.4,1363.1
104,2044.66,1364.1
105,2048.8,1356.82
106,2046.58,1359.08
107,2043.44,1365.68
108,2043.28,1368.44
109,2044.02,1371.02
110,2046.4,1364.42
111,2054.52,1363.8
112,2045.94,1371.74
113,2054.7,1375.12
114,2050.48,1357.88
115,2048.16,1374.52
116,2053.66,1369.4
117,2053.12,1365.32
118,2059.36,1362.28
119,2049.88,1362.88
120,2052.46,1365.58
121,2042.86,1366.16
122,2046.3,1365.44
123,2053.46,1362.66
124,2053.4,1366.68
125,2042.88,1363.04
126,2043.38,1366.44
127,2048.12,1361.86
128,2052.32,1364.6
129,2046.98,1361.5
130,2050.92,1370.58
131,2049.26,1366.88
132,2051.66,1363.08
133,2048.52,1375.26
134,2046.12,1362.8
135,2043.36,1365.34
136,2051.32,1370.66
137,2051.84,1364.14
138,2043.6,1360.2
139,2049.42,1372.32
140,2046.62,1367.7
141,2048.98,1358.6
142,2043.94,1363.1
143,2050.56,1368.7
144,2045.94,1363.42
145,2050.58,1365.34
146,2051.66,1359.12
147,2048.52,1362.6
148,2043.88,1360.68
149,2044.46,1366.94
150,2046.4,1367.46
151,2043.98,1373.94
152,2045.16,1372.54
153,2042.48,1371.52
154,2045.56,1365.0
155,2052.22,1369.68
156,2042.66,1363.2
157,2037.48,1364.46
158,2054.44,1362.96
159,2048.5,1372.34
160,2044.42,1362.3
161,2041.28,1367.12
162,2050.88,1363.06
163,2051.4,1363.58
164,2049.0,1366.42
165,2047.68,1361.26
166,2048.44,1360.66
167,2051.02,1365.22
168,2047.96,1367.7
169,2058.22,1365.96
170,2046.78,1371.5
171,2048.9,1372.24
172,2050.04,1366.44
173,2053.42,1372.54
174,2048.72,1364.2
175,2046.56,1371.84
176,2057.18,1359.98
177,2060.82,1363.0
178,2036.54,1363.12
179,2058.2,1361.9
180,2049.84,1363.66
181,2046.38,1364.58
182,2044.24,1369.94
183,2045.54,1370.38
184,2050.2,1360.42
185,2051.26,1363.1
186,2043.74,1365.82
187,2044.4,1363.36
188,2046.22,1360.76
189,2054.32,1365.66
190,2045.04,1363.1
191,2055.36,1359.34
192,2051.04,1371.7
193,2045.72,1360.34
194,2051.9,1367.46
195,2043.9,1365.18
196,2050.52,1359.64
197,2040.74,1370.6
198,2043.3,1364.4
199,2046.32,1367.6
200,2051.16,1363.76
201,2040.28,1357.38
202,2046.56,1364.26
203,2051.72,1363.76
204,2047.76,1365.7
205,2050.7,1357.94
206,2045.84,1370.98
207,2041.06,1365.04
208,2053.9,1371.86
209,2047.56,1366.96
210,2045.0,1366.04
211,2048.62,1364.32
212,2049.64,1365.52
213,2053.46,1368.62
214,2049.18,1366.9
215,2043.74,1369.5
216,2043.8,1366.9
217,2053.46,1366.56
218,2051.58,1375.2
219,2053.76,1366.06
220,2047.02,1362.86
221,2040.82,1366.78
222,2046.64,1362.94
223,2046.92,1362.56
224,2043.96,1363.28
225,2044.64,1371.76
226,2047.38,1368.44
227,2054.28,1365.9
228,2036.54,1361.96
229,2048.72,1371.98
230,2039.94,1365.46
231,2048.52,1370.86
232,2041.48,1370.7
233,2048.06,1364.2
234,2048.14,1370.14
235,2033.94,1360.68
236,2055.84,1365.02
237,2045.58,1362.94
238,2052.32,1362.12
239,2044.82,1356.14
240,2054.2,1361.34
241,2054.18,1368.52
242,2045.64,1361.36
243,2043.58,1362.72
244,2057.78,1366.7
245,2053.44,1358.58
246,2053.84,1365.18
247,2046.88,1355.3
248,2052.08,1363.78
249,2040.94,1362.32
250,2047.64,1367.24
251,2047.9,1367.7
252,2058.4,1365.12
253,2037.86,1370.7
254,2044.44,1362.72
255,2045.08,1364.48
256,2053.88,1361.78
257,2049.18,1359.56
258,2046.7,1364.72
259,2040.26,1362.42
260,2044.74,1355.34
261,2043.04,1365.06
262,2043.48,1365.96
263,2056.66,1363.06
264,2051.6,1357.28
265,2045.64,1359.84
266,2039.56,1373.36
267,2053.14,1369.6
268,2057.74,1370.54
269,2054.1,1366.9
270,2051.5,1373.72
271,2051.58,1367.56
272,2044.82,1362.06
273,2044.98,1357.94
274,2054.12,1366.3
275,2041.6,1371.32
276,2046.28,1366.06
277,2053.56,1357.46
278,2046.86,1363.5
279,2052.24,1361.64
280,2047.28,1372.5
281,2051.92,1362.2
282,2054.7,1361.56
283,2054.1,1360.18
284,2046.62,1362.24
285,2043.18,1359.84
286,2043.9,1362.08
287,2042.6,1360.52
288,2050.72,1366.48
289,2048.72,1371.04
290,2048.92,1370.44
291,2052.08,1366.58
292,2052.46,1367.26
293,2053.48,1366.48
294,2039.76,1367.78
295,2048.46,1371.6
296,2042.28,1361.3
297,2047.3,1363.8
298,2044.88,1366.08
299,2045.7,1363.34
300,2046.9,1368.32
