distance,BB84,E91
20,12.0,6.0
40,11.0,4.0
60,13.0,4.0
80,9.0,5.0
100,6.0,7.0
120,11.0,4.0
140,10.0,4.0
160,10.0,3.0
180,8.0,5.0
200,8.0,4.0
220,12.0,5.0
240,15.0,6.0
260,5.0,3.0
280,9.0,4.0
300,8.0,5.0
320,8.0,3.0
340,9.0,3.0
360,8.0,3.0
380,5.0,2.0
400,6.0,2.0
420,7.0,1.0
440,4.0,0.0
460,9.0,1.0
480,7.0,3.0
500,7.0,4.0
520,5.0,1.0
540,11.0,0.0
560,7.0,2.0
580,5.0,2.0
600,9.0,0.0
620,7.0,0.0
640,5.0,0.0
660,7.0,0.0
680,5.0,0.0
700,6.0,0.0
720,8.0,0.0
740,7.0,1.0
760,6.0,1.0
780,3.0,0.0
800,4.0,0.0
820,3.0,0.0
840,8.0,0.0
860,3.0,1.0
880,5.0,0.0
900,8.0,0.0
920,5.0,1.0
940,7.0,0.0
960,4.0,0.0
980,7.0,0.0
1000,2.0,0.0
1020,5.0,1.0
1040,7.0,0.0
1060,1.0,0.0
1080,4.0,0.0
1100,3.0,1.0
1120,3.0,0.0
1140,3.0,0.0
1160,3.0,0.0
1180,6.0,0.0
1200,9.0,1.0
1220,0.0,0.0
1240,2.0,2.0
1260,5.0,1.0
1280,2.0,1.0
1300,1.0,0.0
1320,1.0,1.0
1340,2.0,0.0
1360,7.0,0.0
1380,1.0,1.0
1400,4.0,0.0
1420,5.0,1.0
1440,6.0,1.0
1460,6.0,1.0
1480,6.0,0.0
1500,4.0,0.0
1520,6.0,1.0
1540,1.0,0.0
1560,1.0,0.0
1580,4.0,0.0
1600,6.0,1.0
1620,3.0,2.0
1640,4.0,0.0
1660,2.0,1.0
1680,7.0,1.0
1700,0.0,0.0
1720,4.0,0.0
1740,5.0,0.0
1760,7.0,0.0
1780,3.0,0.0
1800,3.0,1.0
1820,6.0,0.0
1840,0.0,0.0
1860,3.0,1.0
1880,3.0,0.0
1900,7.0,0.0
1920,3.0,0.0
1940,6.0,1.0
1960,3.0,0.0
1980,4.0,0.0
