distance,BB8401,E9101,BB8402,E9102
1,127.812,113.642,113.913,127.562
2,127.764,113.539,113.571,128.024
3,128.147,114.136,113.521,128.049
4,128.012,113.452,113.889,128.017
5,127.894,113.627,113.914,128.074
6,128.122,113.895,113.729,128.189
7,127.979,113.39,113.696,128.158
8,127.925,113.871,113.708,127.729
9,127.677,113.905,114.062,128.248
10,127.682,113.629,114.117,127.633
11,127.816,113.652,113.754,128.033
12,127.509,114.064,113.451,127.855
13,127.679,113.939,114.08,127.82
14,127.782,113.985,113.962,127.653
15,127.57,113.61,114.281,127.635
16,128.035,113.973,113.827,128.289
17,128.467,113.577,113.642,128.206
18,128.149,113.782,113.76,128.508
19,127.71,114.079,113.981,127.986
20,128.552,113.624,113.816,128.091
21,128.008,114.136,114.072,127.506
22,128.111,114.214,113.639,127.876
23,127.841,114.188,113.733,128.131
24,128.24,113.486,114.007,127.881
25,128.243,113.928,114.103,128.15
26,127.925,114.146,113.847,127.527
27,128.181,114.089,114.053,128.012
28,128.279,113.88,113.871,127.956
29,128.104,113.632,113.75,128.075
30,127.849,113.853,113.184,127.996
31,128.155,113.99,113.772,127.631
32,127.899,113.943,113.493,128.075
33,128.253,113.633,113.477,127.532
34,128.199,113.926,113.409,127.887
35,127.927,113.645,113.91,127.81
36,128.214,113.766,113.45,128.182
37,128.545,113.664,113.499,128.099
38,128.261,113.73,113.367,127.873
39,128.113,113.901,113.377,127.766
40,127.663,113.796,113.582,128.058
41,127.49,113.964,113.833,128.65
42,127.911,113.812,113.202,128.325
43,127.533,113.328,113.776,128.05
44,128.408,114.266,113.829,127.653
45,128.424,113.945,113.376,128.145
46,127.741,113.942,113.727,128.098
47,127.883,113.768,113.781,127.374
48,128.393,113.933,113.84,127.756
49,128.074,113.711,113.302,127.831
50,128.328,113.904,114.095,127.938
51,127.762,113.943,113.899,127.971
52,128.047,114.113,113.96,127.937
53,127.113,113.968,113.846,127.777
54,128.023,113.748,113.793,128.05
55,128.074,113.897,113.799,127.922
56,127.974,114.005,113.694,128.101
57,127.546,113.948,113.935,128.012
58,127.915,114.214,113.891,128.406
59,128.114,114.016,114.079,127.915
60,128.089,113.897,113.75,127.804
61,128.299,113.501,113.89,128.332
62,128.169,114.049,113.394,127.673
63,127.776,114.096,114.018,127.833
64,128.2,113.608,114.041,127.874
65,128.096,113.557,113.928,128.368
66,128.508,114.12,113.762,128.302
67,128.38,113.616,113.68,127.799
68,127.781,113.78,113.712,128.036
69,127.933,114.214,113.554,127.842
70,127.985,113.762,113.978,127.46
71,128.534,113.93,113.901,127.793
72,127.547,113.74,114.01,128.011
73,128.285,113.586,113.759,128.087
74,127.874,113.927,113.746,127.559
75,127.752,113.582,113.779,128.316
76,128.203,113.981,113.939,128.18
77,127.747,113.715,113.617,128.243
78,127.797,113.488,113.873,128.257
79,128.297,113.77,113.636,127.677
80,127.889,113.613,113.774,127.903
81,127.963,113.51,113.705,127.783
82,127.866,113.851,113.961,127.966
83,128.182,114.063,114.357,127.675
84,127.646,113.832,114.013,128.503
85,128.396,113.934,113.749,128.145
86,128.184,113.859,113.78,128.186
87,128.022,114.485,113.935,128.238
88,127.636,113.968,113.853,127.611
89,127.948,113.125,113.642,127.764
90,127.879,114.225,113.636,127.376
91,127.93,113.919,114.012,127.744
92,128.145,113.644,113.693,127.953
93,128.284,113.567,113.969,128.249
94,127.906,114.247,113.395,128.222
95,128.256,113.649,113.603,127.789
96,127.87,113.619,113.473,128.163
97,127.904,114.274,114.253,128.155
98,128.401,113.966,113.722,127.941
99,127.785,113.615,113.667,127.858
100,127.623,113.939,113.647,128.031
101,127.981,113.711,114.014,128.04
102,127.906,113.779,113.676,128.302
103,128.099,113.575,113.561,128.01
104,128.076,113.25,113.891,127.918
105,127.572,113.916,114.088,127.34
106,128.33,113.931,113.784,128.543
107,128.222,113.185,113.767,127.971
108,128.288,114.156,113.611,127.773
109,128.353,113.957,113.979,127.866
110,127.813,113.717,113.849,127.936
111,127.814,113.648,113.776,127.94
112,128.063,114.053,114.158,127.838
113,127.632,113.319,113.666,128.248
114,127.806,113.907,114.251,128.009
115,127.402,113.602,114.104,127.658
116,127.887,114.323,113.944,127.889
117,128.277,114.358,113.912,128.153
118,127.703,113.751,113.826,128.021
119,127.913,113.823,113.86,127.666
120,127.683,113.56,114.056,127.83
121,128.23,113.98,113.553,128.324
122,127.963,113.888,113.793,128.12
123,128.307,113.674,114.026,127.713
124,127.722,113.654,113.627,127.983
125,127.791,113.338,114.037,128.123
126,127.762,113.729,113.947,127.79
127,127.447,114.345,113.476,128.237
128,127.436,114.217,113.645,128.196
129,127.669,113.667,113.894,128.031
130,127.886,114.136,114.191,128.254
131,127.824,113.937,113.78,127.796
132,128.207,113.271,113.996,128.258
133,127.693,114.25,113.777,127.919
134,127.806,113.841,113.604,127.786
135,128.14,113.917,113.923,128.338
136,128.124,113.845,114.189,128.029
137,127.696,114.038,113.943,127.827
138,127.889,114.016,113.555,128.012
139,128.599,113.635,113.951,128.056
140,127.966,113.73,114.087,127.49
