distance,BB84,E91
1,131.0,76.0
2,121.0,85.0
3,132.0,83.0
4,127.0,81.0
5,119.0,95.0
6,127.0,87.0
7,123.0,90.0
8,119.0,91.0
9,116.0,87.0
10,138.0,93.0
11,132.0,75.0
12,126.0,85.0
13,142.0,91.0
14,124.0,84.0
15,140.0,82.0
16,132.0,85.0
17,130.0,87.0
18,127.0,82.0
19,134.0,82.0
20,131.0,77.0
21,137.0,81.0
22,136.0,92.0
23,129.0,92.0
24,138.0,81.0
25,134.0,69.0
26,136.0,84.0
27,130.0,86.0
28,129.0,85.0
29,130.0,95.0
30,124.0,98.0
31,122.0,99.0
32,126.0,94.0
33,127.0,86.0
34,136.0,76.0
35,128.0,77.0
36,147.0,80.0
37,136.0,65.0
38,123.0,86.0
39,148.0,84.0
40,127.0,94.0
41,130.0,90.0
42,117.0,88.0
43,130.0,97.0
44,145.0,76.0
45,137.0,81.0
46,135.0,74.0
47,135.0,99.0
48,133.0,92.0
49,131.0,84.0
50,128.0,89.0
51,121.0,79.0
52,121.0,92.0
53,135.0,89.0
54,130.0,80.0
55,122.0,86.0
56,119.0,83.0
57,133.0,93.0
58,130.0,94.0
59,122.0,83.0
60,134.0,85.0
61,137.0,68.0
62,125.0,85.0
63,127.0,83.0
64,142.0,94.0
65,137.0,80.0
66,130.0,75.0
67,124.0,80.0
68,131.0,93.0
69,135.0,90.0
70,123.0,88.0
