distance,BB84,E91
1,258.0,194.0
2,253.0,182.0
3,246.0,166.0
4,264.0,160.0
5,246.0,191.0
6,257.0,178.0
7,242.0,154.0
8,255.0,168.0
9,263.0,182.0
10,256.0,189.0
11,254.0,178.0
12,252.0,163.0
13,264.0,189.0
14,276.0,185.0
15,258.0,172.0
16,257.0,178.0
17,257.0,170.0
18,275.0,177.0
19,261.0,190.0
20,274.0,158.0
21,251.0,169.0
22,271.0,161.0
23,253.0,186.0
24,260.0,168.0
25,268.0,160.0
26,258.0,152.0
27,265.0,183.0
28,276.0,160.0
29,259.0,155.0
30,265.0,169.0
31,254.0,173.0
32,265.0,161.0
33,267.0,183.0
34,240.0,191.0
35,255.0,175.0
36,253.0,162.0
37,261.0,161.0
38,266.0,174.0
39,244.0,179.0
40,264.0,174.0
41,245.0,198.0
42,237.0,172.0
43,272.0,181.0
44,256.0,174.0
45,259.0,174.0
46,266.0,187.0
47,257.0,152.0
48,248.0,177.0
49,240.0,169.0
50,262.0,169.0
51,272.0,181.0
52,261.0,161.0
53,231.0,174.0
54,264.0,163.0
55,251.0,161.0
56,257.0,167.0
57,243.0,185.0
58,264.0,187.0
59,259.0,164.0
60,274.0,188.0
61,269.0,152.0
62,266.0,180.0
63,255.0,175.0
64,266.0,183.0
65,263.0,174.0
66,267.0,165.0
67,250.0,154.0
68,262.0,184.0
69,269.0,177.0
70,259.0,177.0
71,254.0,179.0
72,242.0,166.0
73,257.0,159.0
74,250.0,183.0
75,254.0,157.0
76,263.0,171.0
77,249.0,175.0
78,243.0,168.0
79,256.0,165.0
80,271.0,181.0
81,260.0,170.0
82,243.0,171.0
83,258.0,181.0
84,251.0,173.0
85,259.0,172.0
86,250.0,173.0
87,254.0,177.0
88,257.0,162.0
89,245.0,180.0
90,263.0,169.0
91,271.0,147.0
92,269.0,157.0
93,248.0,186.0
94,247.0,173.0
95,248.0,155.0
96,249.0,156.0
97,258.0,185.0
98,274.0,160.0
99,249.0,177.0
100,257.0,187.0
101,252.0,164.0
102,248.0,161.0
103,266.0,162.0
104,273.0,164.0
105,258.0,189.0
106,275.0,167.0
107,278.0,202.0
108,265.0,179.0
109,250.0,174.0
110,261.0,187.0
111,252.0,150.0
112,258.0,168.0
113,256.0,167.0
114,260.0,187.0
115,277.0,167.0
116,254.0,168.0
117,240.0,167.0
118,276.0,173.0
119,256.0,179.0
120,241.0,135.0
121,257.0,163.0
122,261.0,174.0
123,247.0,149.0
124,265.0,176.0
125,271.0,186.0
126,263.0,175.0
127,249.0,165.0
128,261.0,170.0
129,221.0,158.0
130,257.0,164.0
131,268.0,185.0
132,257.0,167.0
133,264.0,170.0
134,253.0,154.0
135,275.0,177.0
136,259.0,178.0
137,253.0,174.0
138,275.0,175.0
139,264.0,154.0
140,244.0,169.0
141,274.0,163.0
142,236.0,173.0
143,260.0,164.0
144,250.0,173.0
145,262.0,170.0
146,251.0,170.0
147,253.0,172.0
148,239.0,167.0
149,241.0,153.0
150,253.0,165.0
