distance,BB8401,E9101,BB8402,E9102
177,0.0,4.022,0.978,0.0
178,0.0,3.888,1.017,0.0
179,0.0,3.731,0.992,0.0
180,0.0,3.572,0.953,0.0
181,0.0,3.504,0.909,0.0
182,0.0,3.288,0.818,0.0
183,0.0,3.164,0.889,0.0
184,0.0,3.11,0.821,0.0
185,0.0,2.956,0.846,0.0
186,0.0,2.883,0.772,0.0
187,0.0,2.697,0.836,0.0
188,0.0,2.681,0.806,0.0
189,0.0,2.653,0.751,0.0
190,0.0,2.466,0.826,0.0
191,0.0,2.388,0.784,0.0
192,0.0,2.373,0.717,0.0
193,0.0,2.172,0.74,0.0
194,0.0,2.163,0.704,0.0
195,0.0,2.067,0.699,0.0
196,0.0,2.06,0.738,0.0
197,0.0,2.076,0.679,0.0
198,0.0,1.963,0.69,0.0
199,0.0,1.85,0.649,0.0
200,0.0,1.734,0.643,0.0
