distance,BB84,E91
1,7.0,4.0
2,10.0,7.0
3,4.0,9.0
4,10.0,5.0
5,8.0,4.0
6,7.0,8.0
7,7.0,6.0
8,10.0,6.0
9,9.0,6.0
10,7.0,6.0
11,6.0,5.0
12,10.0,4.0
13,9.0,2.0
14,7.0,6.0
15,8.0,9.0
16,7.0,6.0
17,6.0,8.0
18,9.0,3.0
19,6.0,5.0
20,7.0,4.0
21,9.0,5.0
22,6.0,4.0
23,9.0,8.0
24,6.0,4.0
25,7.0,7.0
26,5.0,5.0
27,8.0,4.0
28,9.0,6.0
29,10.0,9.0
30,7.0,7.0
31,8.0,5.0
32,7.0,4.0
33,9.0,6.0
34,9.0,4.0
35,3.0,6.0
36,11.0,8.0
37,5.0,3.0
38,9.0,7.0
39,8.0,6.0
40,5.0,7.0
41,9.0,7.0
42,9.0,3.0
43,12.0,8.0
44,6.0,7.0
45,11.0,4.0
46,6.0,6.0
47,12.0,6.0
48,5.0,3.0
49,9.0,2.0
50,8.0,8.0
51,7.0,3.0
52,7.0,6.0
53,6.0,4.0
54,9.0,7.0
55,8.0,5.0
56,7.0,4.0
57,6.0,4.0
58,9.0,6.0
59,9.0,7.0
60,6.0,4.0
61,4.0,4.0
62,7.0,5.0
63,7.0,4.0
64,10.0,3.0
65,8.0,8.0
66,6.0,4.0
67,11.0,4.0
68,9.0,4.0
69,9.0,7.0
70,6.0,7.0
71,12.0,4.0
72,8.0,6.0
73,8.0,4.0
74,10.0,3.0
75,8.0,4.0
76,7.0,5.0
77,8.0,6.0
78,8.0,9.0
79,9.0,5.0
80,8.0,5.0
81,7.0,3.0
82,7.0,3.0
83,5.0,3.0
84,7.0,8.0
85,6.0,5.0
86,8.0,3.0
87,5.0,4.0
88,5.0,5.0
89,9.0,5.0
90,10.0,6.0
91,7.0,3.0
92,9.0,5.0
93,11.0,3.0
94,5.0,5.0
95,7.0,6.0
96,11.0,6.0
97,8.0,4.0
98,11.0,5.0
99,9.0,7.0
100,9.0,8.0
101,10.0,3.0
102,8.0,6.0
103,10.0,8.0
104,12.0,6.0
105,7.0,3.0
106,11.0,2.0
107,12.0,6.0
108,4.0,7.0
109,8.0,2.0
110,6.0,2.0
111,6.0,4.0
112,8.0,6.0
113,11.0,6.0
114,11.0,6.0
115,11.0,9.0
116,5.0,7.0
117,5.0,4.0
118,11.0,4.0
119,6.0,5.0
120,11.0,4.0
121,11.0,5.0
122,9.0,5.0
123,9.0,6.0
124,7.0,7.0
125,8.0,9.0
126,7.0,7.0
127,7.0,7.0
128,6.0,6.0
129,6.0,3.0
130,8.0,7.0
131,10.0,8.0
132,10.0,6.0
133,8.0,6.0
134,7.0,4.0
135,7.0,4.0
136,10.0,8.0
137,9.0,6.0
138,7.0,5.0
139,7.0,9.0
140,8.0,6.0
141,7.0,6.0
142,6.0,3.0
143,7.0,8.0
144,8.0,4.0
145,8.0,1.0
146,8.0,3.0
147,9.0,6.0
148,9.0,4.0
149,9.0,8.0
150,8.0,7.0
151,10.0,6.0
152,8.0,4.0
153,6.0,3.0
154,10.0,9.0
155,11.0,5.0
156,9.0,4.0
157,13.0,3.0
158,11.0,7.0
159,6.0,9.0
160,9.0,5.0
161,8.0,5.0
162,8.0,7.0
163,4.0,5.0
164,7.0,7.0
165,8.0,5.0
166,10.0,6.0
167,11.0,3.0
168,8.0,7.0
169,9.0,6.0
170,6.0,5.0
171,5.0,4.0
172,7.0,7.0
173,9.0,5.0
174,7.0,4.0
175,11.0,4.0
176,10.0,1.0
177,8.0,4.0
178,8.0,6.0
179,9.0,0.0
180,9.0,4.0
181,8.0,7.0
182,9.0,6.0
183,10.0,6.0
184,11.0,6.0
185,7.0,7.0
186,12.0,3.0
187,11.0,6.0
188,8.0,5.0
189,6.0,5.0
190,9.0,9.0
191,6.0,5.0
192,8.0,5.0
193,9.0,6.0
194,7.0,6.0
195,11.0,4.0
196,7.0,4.0
197,5.0,4.0
198,6.0,9.0
199,7.0,4.0
200,7.0,6.0
