distance,BB84,E91
20,37.0,24.0
40,29.0,18.0
60,36.0,18.0
80,28.0,28.0
100,30.0,29.0
120,32.0,17.0
140,28.0,26.0
160,34.0,20.0
180,30.0,21.0
200,30.0,21.0
220,40.0,23.0
240,39.0,28.0
260,25.0,20.0
280,26.0,22.0
300,35.0,25.0
320,26.0,24.0
340,29.0,21.0
360,32.0,28.0
380,30.0,26.0
400,37.0,17.0
420,32.0,17.0
440,27.0,23.0
460,34.0,26.0
480,33.0,27.0
500,35.0,21.0
520,26.0,20.0
540,34.0,24.0
560,28.0,30.0
580,36.0,28.0
600,34.0,22.0
620,32.0,27.0
640,30.0,15.0
660,33.0,20.0
680,31.0,18.0
700,37.0,23.0
720,31.0,21.0
740,28.0,20.0
760,28.0,16.0
780,34.0,20.0
800,31.0,17.0
820,29.0,22.0
840,39.0,23.0
860,26.0,22.0
880,32.0,18.0
900,34.0,24.0
920,28.0,24.0
940,34.0,20.0
960,31.0,25.0
980,34.0,20.0
1000,37.0,25.0
1020,34.0,20.0
1040,39.0,23.0
1060,29.0,22.0
1080,34.0,23.0
1100,32.0,17.0
1120,27.0,16.0
1140,30.0,23.0
1160,32.0,23.0
1180,40.0,25.0
1200,34.0,22.0
1220,36.0,20.0
1240,31.0,19.0
1260,23.0,19.0
1280,28.0,26.0
1300,27.0,19.0
1320,29.0,15.0
1340,31.0,24.0
1360,33.0,21.0
1380,24.0,13.0
1400,33.0,13.0
1420,34.0,24.0
1440,38.0,18.0
1460,27.0,16.0
1480,30.0,18.0
1500,36.0,20.0
1520,37.0,22.0
1540,29.0,21.0
1560,28.0,21.0
1580,32.0,19.0
1600,25.0,24.0
1620,35.0,20.0
1640,34.0,20.0
1660,27.0,16.0
1680,34.0,21.0
1700,35.0,23.0
1720,35.0,21.0
1740,38.0,24.0
1760,39.0,21.0
1780,30.0,24.0
1800,34.0,22.0
1820,30.0,21.0
1840,27.0,27.0
1860,28.0,18.0
1880,28.0,23.0
1900,34.0,25.0
1920,31.0,20.0
1940,38.0,27.0
1960,31.0,18.0
1980,32.0,21.0
