distance,BB8401,E9101,BB8402,E9102
1,31.968,28.011,27.861,31.85
2,32.077,27.896,27.785,32.027
3,31.846,27.997,27.919,32.002
4,32.022,27.836,27.676,31.739
5,31.994,27.736,28.018,32.021
6,31.875,27.838,27.979,31.733
7,31.855,27.927,27.648,31.826
8,31.68,27.938,27.888,31.929
9,31.905,27.82,27.92,31.777
10,31.869,27.798,27.808,31.733
11,31.778,27.752,27.751,31.951
12,32.005,27.913,27.73,31.804
13,31.786,27.917,27.894,31.983
14,31.8,27.738,27.525,31.856
15,31.87,27.965,27.727,31.868
16,31.931,27.682,27.894,31.736
17,31.85,27.78,27.715,31.736
18,31.89,27.695,27.749,31.843
19,31.92,27.684,27.557,31.931
20,31.79,27.839,27.755,31.973
21,31.951,27.803,27.621,31.828
22,31.853,27.626,27.711,31.842
23,31.972,27.677,27.691,31.888
24,31.914,27.594,27.772,31.763
25,31.85,27.498,27.568,31.986
26,32.008,27.57,27.588,31.99
27,32.178,27.6,27.461,31.747
28,31.737,27.395,27.423,31.894
29,31.777,27.503,27.453,31.931
30,31.968,27.626,27.281,31.959
31,31.859,27.568,27.4,31.68
32,31.805,27.541,27.33,32.041
33,31.748,27.757,27.442,31.939
34,31.77,27.586,27.134,31.778
35,32.056,27.6,27.095,31.866
36,31.887,27.451,27.033,31.923
37,31.847,27.226,27.0,32.036
38,32.025,27.462,26.911,31.72
39,31.957,27.409,27.018,31.874
40,31.771,27.479,26.843,31.865
41,31.909,27.126,26.764,31.718
42,31.843,27.339,26.675,31.749
43,31.907,27.377,26.805,31.898
44,31.774,27.323,26.565,31.912
45,31.84,27.294,26.494,31.697
46,31.805,26.979,26.523,31.822
47,31.819,27.031,26.346,31.743
48,31.921,26.923,26.339,31.613
49,31.774,27.016,26.184,31.766
50,31.646,26.932,26.156,31.821
51,31.716,26.836,25.991,31.57
52,31.661,26.629,25.922,31.786
53,31.875,26.723,25.577,31.551
54,31.861,26.733,25.588,31.576
55,31.762,26.638,25.596,31.682
56,31.667,26.643,25.344,31.697
57,31.728,26.304,25.251,31.574
