distance,BB84,E91
20,54.0,43.0
40,63.0,36.0
60,55.0,50.0
80,70.0,41.0
100,57.0,41.0
120,69.0,33.0
140,60.0,44.0
160,70.0,37.0
180,61.0,38.0
200,72.0,43.0
220,74.0,42.0
240,67.0,37.0
260,61.0,34.0
280,68.0,44.0
300,63.0,51.0
320,67.0,40.0
340,52.0,38.0
360,57.0,42.0
380,66.0,51.0
400,60.0,33.0
420,68.0,42.0
440,64.0,39.0
460,71.0,36.0
480,72.0,40.0
500,69.0,47.0
520,59.0,48.0
540,74.0,49.0
560,62.0,42.0
580,54.0,44.0
600,71.0,53.0
620,69.0,48.0
640,75.0,39.0
660,61.0,47.0
680,63.0,35.0
700,57.0,46.0
720,65.0,52.0
740,63.0,44.0
760,62.0,40.0
780,52.0,57.0
800,64.0,47.0
820,70.0,26.0
840,63.0,47.0
860,67.0,38.0
880,64.0,45.0
900,58.0,46.0
920,64.0,50.0
940,68.0,49.0
960,61.0,57.0
980,61.0,47.0
1000,70.0,39.0
1020,73.0,41.0
1040,67.0,41.0
1060,68.0,42.0
1080,67.0,41.0
1100,68.0,42.0
1120,72.0,50.0
1140,74.0,53.0
1160,64.0,42.0
1180,57.0,50.0
1200,63.0,36.0
1220,62.0,40.0
1240,62.0,48.0
1260,68.0,40.0
1280,56.0,39.0
1300,67.0,39.0
1320,49.0,35.0
1340,60.0,40.0
1360,59.0,43.0
1380,67.0,43.0
1400,69.0,44.0
1420,59.0,37.0
1440,58.0,40.0
1460,61.0,35.0
1480,72.0,44.0
1500,71.0,45.0
1520,65.0,52.0
1540,63.0,56.0
1560,72.0,48.0
1580,68.0,40.0
1600,64.0,45.0
1620,63.0,39.0
1640,66.0,38.0
1660,60.0,41.0
1680,54.0,44.0
1700,58.0,48.0
1720,75.0,44.0
1740,73.0,41.0
1760,70.0,43.0
1780,71.0,46.0
1800,63.0,42.0
1820,69.0,46.0
1840,70.0,44.0
1860,60.0,39.0
1880,69.0,42.0
1900,66.0,51.0
1920,64.0,48.0
1940,60.0,40.0
1960,62.0,41.0
1980,59.0,45.0
