distance,BB8401,E9101,BB8402,E9102
1,255.844,227.895,226.994,255.753
2,255.791,227.892,227.891,256.423
3,256.555,227.497,227.759,254.778
4,256.844,226.712,227.37,256.652
5,256.281,228.055,227.446,255.529
6,255.849,227.361,227.727,255.662
7,256.067,227.197,227.797,255.76
8,255.848,227.765,227.331,255.998
9,255.58,228.034,228.165,256.073
10,256.613,228.259,227.543,255.915
11,256.393,227.341,227.912,256.097
12,255.884,227.786,227.513,256.221
13,255.761,227.566,227.114,255.372
14,256.069,227.629,228.021,256.994
15,255.958,227.153,227.294,256.008
16,255.667,227.751,227.445,256.229
17,256.249,227.771,228.15,255.733
18,255.289,227.744,226.877,255.831
19,255.793,227.578,227.016,256.905
20,255.453,227.867,227.341,256.393
21,255.626,227.448,228.078,255.851
22,255.57,227.658,227.5,255.961
23,255.476,227.395,226.71,255.592
24,255.989,227.331,227.111,256.109
25,256.225,227.39,227.991,255.49
26,256.115,227.874,227.212,256.799
27,256.195,227.702,228.009,256.675
28,255.934,227.579,227.677,255.487
29,256.286,227.768,228.189,256.723
30,255.404,227.411,228.118,255.83
31,256.188,227.725,227.344,256.052
32,256.411,227.355,227.368,255.899
33,255.804,227.662,227.327,255.359
34,255.838,227.109,227.398,255.839
35,255.72,228.207,227.898,256.371
36,255.232,227.788,227.551,255.644
37,255.596,227.385,227.639,256.488
38,255.869,227.511,227.485,255.691
39,256.167,227.065,227.622,256.07
40,255.605,228.27,227.35,255.965
41,255.12,228.271,228.007,255.545
42,256.056,227.327,227.498,256.049
43,256.161,227.355,227.169,256.367
44,255.857,227.66,228.201,256.628
45,256.147,227.47,227.386,255.575
46,255.691,227.098,227.691,256.488
47,255.708,226.992,227.894,255.619
48,255.699,227.256,227.908,255.686
49,256.351,228.039,227.626,255.586
50,256.27,227.817,228.285,255.907
51,256.458,227.179,228.063,255.969
52,256.178,228.13,227.527,255.441
53,255.756,227.558,227.824,255.765
54,256.115,227.979,227.58,255.686
55,255.557,227.629,227.571,256.206
56,257.028,227.704,227.695,256.038
57,255.365,227.291,227.525,255.796
58,255.686,227.185,227.228,256.488
59,256.334,227.027,227.302,255.946
